"Months","MSFT","TTWO","EA","ATVI","NVDA"
"10-Jan",28.18,9.28,16.28,10.16,15.39
"10-Mar",29.2875,9.8675,18.66,12.05,17.4
"10-Jun",23.01,9,14.4,10.49,10.21
"10-Sep",24.49,10.14,16.4475,10.82,11.682
"11-Jan",27.725,12.475,15.59,11.29,23.92
"11-Mar",25.39,15.365,19.53,10.97,18.46
"11-Jun",26,15.28,23.6,11.68,15.935
"11-Sep",24.89,12.72,20.45,11.9,12.51
"12-Jan",29.53,15.6,18.575,12.34,14.77
"12-Mar",32.255,15.385,16.485,12.82,15.395
"12-Jun",30.59,9.46,12.35,11.99,13.82
"12-Sep",29.76,10.44,12.69,11.275,13.34
"13-Jan",27.45,12.17,15.73,11.4,12.26
"13-Mar",28.605,16.15,17.7,14.57,12.83
"13-Jun",34.545,14.97,22.99,14.26,14.04
"13-Sep",33.28,18.17,25.55,16.68,15.56
"14-Jan",37.84,19.18,26.4,17.13,15.7
"14-Mar",40.99,21.93,29.01,20.44,17.91
"14-Jun",41.7,22.24,35.87,22.3,18.54
"14-Sep",46.36,23.07,35.61,20.79,18.45
"15-Jan",40.4,29.72,54.86,20.895,19.205
"15-Mar",40.655,25.455,58.815,22.725,20.925
"15-Jun",44.15,27.57,66.5,24.21,20.11
"15-Sep",44.26,28.73,67.75,30.89,24.65
"16-Jan",55.09,34.7,64.545,34.82,29.29
"16-Mar",55.23,37.67,66.11,33.84,35.63
"16-Jun",51.17,37.92,75.76,39.63,47.01
"16-Sep",57.6,45.08,85.4,44.3,68.52
"17-Jan",64.65,53.65,83.43,40.21,109.18
"17-Mar",65.86,59.27,89.52,49.86,108.93
"17-Jun",68.93,73.38,105.72,57.57,144.56
"17-Sep",74.49,102.23,118.06,64.51,178.77
"18-Jan",95.01,126.67,126.96,74.13,245.8
"18-Mar",91.27,97.78,121.24,67.46,231.59
"18-Jun",98.61,118.36,141.02,76.32,236.9
"18-Sep",114.37,137.99,120.49,83.19,281.02
"18-Oct",112.26,127.95,109.49,77.64,253.72
